,Link,Title,Price,Details,Rating,TItle
57,https://www.airbnb.co.in/rooms/52371280?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=7d786045-5d52-42da-bc9c-7cde516f3ea0,,"₹13,937 per night, originally ₹25,742",2 beds,5.0,Apartment in Honolulu
58,https://www.airbnb.co.in/rooms/50897977?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=7d786045-5d52-42da-bc9c-7cde516f3ea0,,"₹12,512 per night",1 king bed,4.29,Hotel room in Honolulu
59,https://www.airbnb.co.in/rooms/9150540?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=7d786045-5d52-42da-bc9c-7cde516f3ea0,,"₹9,663 per night",1 queen bed,4.82,Apartment in Honolulu
60,https://www.airbnb.co.in/rooms/630730291575194376?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=7d786045-5d52-42da-bc9c-7cde516f3ea0,,"₹12,260 per night",1 bed,New,Apartment in Honolulu
61,https://www.airbnb.co.in/rooms/614598780444759854?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹17,512 per night, originally ₹19,872",1 bed,4.83,Flat in Hauula
62,https://www.airbnb.co.in/rooms/53178294?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹18,908 per night, originally ₹26,122",2 beds,4.75,Apartment in Honolulu
63,https://www.airbnb.co.in/rooms/559385787207185231?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹11,267 per night",2 beds,3.38,Apartment in Honolulu
64,https://www.airbnb.co.in/rooms/51088363?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹23,613 per night",2 beds,4.88,Apartment in Honolulu
65,https://www.airbnb.co.in/rooms/46834094?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹18,003 per night",1 king bed,4.96,Flat in Honolulu
66,https://www.airbnb.co.in/rooms/46976405?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹11,909 per night",3 beds,4.7,Apartment in Honolulu
67,https://www.airbnb.co.in/rooms/47359226?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹13,737 per night, originally ₹15,862",3 beds,4.87,Apartment in Honolulu
68,https://www.airbnb.co.in/rooms/623250535266554668?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹15,304 per night, originally ₹20,813",2 beds,5.0,Apartment in Honolulu
69,https://www.airbnb.co.in/rooms/49130811?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹16,075 per night, originally ₹17,649",1 queen bed,4.61,Hotel room in Honolulu
70,https://www.airbnb.co.in/rooms/17318804?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹14,415 per night",1 bed,4.6,Hotel room in Honolulu
71,https://www.airbnb.co.in/rooms/43237567?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹19,595 per night",2 beds,4.82,Hotel room in Honolulu
72,https://www.airbnb.co.in/rooms/16518348?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹16,288 per night",1 queen bed,4.88,Apartment in Honolulu
73,https://www.airbnb.co.in/rooms/29599452?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹14,385 per night, originally ₹17,139",1 queen bed,4.74,Apartment in Honolulu
